case_id,prefix,k,time_passed,recent_time,latest_time,next_time
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other other other other grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 turning-&-milling-q.c. lapping---machine-1 laser-marking---machine-7 round-grinding---machine-3 round-grinding---q.c.,33,62,0,0,1
Case238,turning-&-milling---machine-4,0,0,0,0,0
Case238,turning-&-milling---machine-4 turning-&-milling---machine-4,1,0,0,0,0
Case238,turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4,2,0,0,0,0
Case238,turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4,3,0,0,0,0
Case238,turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4,4,0,0,0,0
Case238,turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4,5,0,0,0,0
Case238,turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling-q.c.,6,0,0,0,0
Case238,turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling-q.c. turning-&-milling---machine-4,7,0,0,0,0
Case238,turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling-q.c. turning-&-milling---machine-4 turning-&-milling---machine-4,8,0,0,0,0
Case238,turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling-q.c. turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling-q.c.,9,0,0,0,0
Case238,turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling-q.c. turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling-q.c. turning-&-milling---machine-4,10,0,0,0,0
Case238,turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling-q.c. turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling-q.c. turning-&-milling---machine-4 turning-&-milling---machine-4,11,0,0,0,0
Case238,turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling-q.c. turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling-q.c. turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4,12,0,0,0,0
Case238,turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling-q.c. turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling-q.c. turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling-q.c.,13,0,0,0,0
Case238,turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling-q.c. turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling-q.c. turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling-q.c. turning-&-milling---machine-4,14,0,0,0,1
Case187,lapping---machine-1,0,0,0,0,8
Case187,lapping---machine-1 round-grinding---machine-3,1,8,0,8,0
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3,2,8,8,0,0
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3,3,8,0,0,0
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3,4,8,0,0,0
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3,5,8,0,0,0
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3,6,8,0,0,0
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3,7,8,0,0,0
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3,8,8,0,0,0
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3,9,8,0,0,2
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 lapping---machine-1,10,10,2,2,0
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 lapping---machine-1 round-grinding---machine-3,11,10,2,0,0
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3,12,10,0,0,0
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3,13,10,0,0,0
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3,14,10,0,0,0
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3,15,10,0,0,2
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 final-inspection-q.c.,16,12,2,2,2
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 final-inspection-q.c. final-inspection-q.c.,17,14,5,2,1
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 final-inspection-q.c. final-inspection-q.c. final-inspection-q.c.,18,15,3,1,0
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 final-inspection-q.c. final-inspection-q.c. final-inspection-q.c. final-inspection-q.c.,19,15,1,0,0
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 final-inspection-q.c. final-inspection-q.c. final-inspection-q.c. final-inspection-q.c. packing,20,15,1,0,0
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 final-inspection-q.c. final-inspection-q.c. final-inspection-q.c. final-inspection-q.c. packing final-inspection-q.c.,21,15,0,0,1
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 final-inspection-q.c. final-inspection-q.c. final-inspection-q.c. final-inspection-q.c. packing final-inspection-q.c. final-inspection-q.c.,22,16,2,1,1
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 final-inspection-q.c. final-inspection-q.c. final-inspection-q.c. final-inspection-q.c. packing final-inspection-q.c. final-inspection-q.c. round-grinding---machine-3,23,17,3,1,0
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 final-inspection-q.c. final-inspection-q.c. final-inspection-q.c. final-inspection-q.c. packing final-inspection-q.c. final-inspection-q.c. round-grinding---machine-3 final-inspection-q.c.,24,17,1,0,0
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 final-inspection-q.c. final-inspection-q.c. final-inspection-q.c. final-inspection-q.c. packing final-inspection-q.c. final-inspection-q.c. round-grinding---machine-3 final-inspection-q.c. final-inspection-q.c.,25,17,0,0,0
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 final-inspection-q.c. final-inspection-q.c. final-inspection-q.c. final-inspection-q.c. packing final-inspection-q.c. final-inspection-q.c. round-grinding---machine-3 final-inspection-q.c. final-inspection-q.c. final-inspection-q.c.,26,17,0,0,0
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 final-inspection-q.c. final-inspection-q.c. final-inspection-q.c. final-inspection-q.c. packing final-inspection-q.c. final-inspection-q.c. round-grinding---machine-3 final-inspection-q.c. final-inspection-q.c. final-inspection-q.c. final-inspection-q.c.,27,17,0,0,1
Case263,turning-&-milling---machine-8,0,0,0,0,1
Case263,turning-&-milling---machine-8 turning-&-milling---machine-8,1,1,0,1,0
Case263,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8,2,1,1,0,0
Case263,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c.,3,1,0,0,0
Case263,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling---machine-8,4,1,0,0,0
Case263,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling---machine-8 turning-&-milling---machine-8,5,1,0,0,0
Case263,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8,6,1,0,0,0
Case263,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8,7,1,0,0,0
Case263,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c.,8,1,0,0,0
Case263,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. flat-grinding---machine-11,9,1,0,0,11
Case263,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. flat-grinding---machine-11 other,10,12,11,11,0
Case263,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. flat-grinding---machine-11 other laser-marking---machine-7,11,12,11,0,0
Case263,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. flat-grinding---machine-11 other laser-marking---machine-7 lapping---machine-1,12,12,0,0,0
Case263,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. flat-grinding---machine-11 other laser-marking---machine-7 lapping---machine-1 final-inspection-q.c.,13,12,0,0,0
