case_id,prefix,k,next_act
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other other other other grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27,14,grinding-rework---machine-27
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other other other other grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27,15,grinding-rework---machine-27
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other other other other grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27,16,grinding-rework---machine-27
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other other other other grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27,17,grinding-rework---machine-27
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other other other other grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27,18,grinding-rework---machine-27
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other other other other grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27,19,grinding-rework---machine-27
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other other other other grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27,20,grinding-rework---machine-27
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other other other other grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27,21,grinding-rework---machine-27
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other other other other grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27,22,grinding-rework---machine-27
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other other other other grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27,23,grinding-rework---machine-27
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other other other other grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27,24,grinding-rework---machine-27
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other other other other grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27,25,grinding-rework---machine-27
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other other other other grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27,26,grinding-rework---machine-27
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other other other other grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27,27,grinding-rework---machine-27
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other other other other grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27,28,turning-&-milling-q.c.
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other other other other grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 turning-&-milling-q.c.,29,lapping---machine-1
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other other other other grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 turning-&-milling-q.c. lapping---machine-1,30,laser-marking---machine-7
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other other other other grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 turning-&-milling-q.c. lapping---machine-1 laser-marking---machine-7,31,round-grinding---machine-3
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other other other other grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 turning-&-milling-q.c. lapping---machine-1 laser-marking---machine-7 round-grinding---machine-3,32,round-grinding---q.c.
Case238,turning-&-milling---machine-4,0,turning-&-milling---machine-4
Case238,turning-&-milling---machine-4 turning-&-milling---machine-4,1,turning-&-milling---machine-4
Case238,turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4,2,turning-&-milling---machine-4
Case238,turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4,3,turning-&-milling---machine-4
Case238,turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4,4,turning-&-milling---machine-4
Case238,turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4,5,turning-&-milling-q.c.
Case238,turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling-q.c.,6,turning-&-milling---machine-4
Case238,turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling-q.c. turning-&-milling---machine-4,7,turning-&-milling---machine-4
Case238,turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling-q.c. turning-&-milling---machine-4 turning-&-milling---machine-4,8,turning-&-milling-q.c.
Case238,turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling-q.c. turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling-q.c.,9,turning-&-milling---machine-4
Case238,turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling-q.c. turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling-q.c. turning-&-milling---machine-4,10,turning-&-milling---machine-4
Case238,turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling-q.c. turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling-q.c. turning-&-milling---machine-4 turning-&-milling---machine-4,11,turning-&-milling---machine-4
Case238,turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling-q.c. turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling-q.c. turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4,12,turning-&-milling-q.c.
Case238,turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling-q.c. turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling-q.c. turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling---machine-4 turning-&-milling-q.c.,13,turning-&-milling---machine-4
Case187,lapping---machine-1,0,round-grinding---machine-3
Case187,lapping---machine-1 round-grinding---machine-3,1,round-grinding---machine-3
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3,2,round-grinding---machine-3
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3,3,round-grinding---machine-3
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3,4,round-grinding---machine-3
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3,5,round-grinding---machine-3
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3,6,round-grinding---machine-3
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3,7,round-grinding---machine-3
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3,8,round-grinding---machine-3
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3,9,lapping---machine-1
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 lapping---machine-1,10,round-grinding---machine-3
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 lapping---machine-1 round-grinding---machine-3,11,round-grinding---machine-3
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3,12,round-grinding---machine-3
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3,13,round-grinding---machine-3
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3,14,round-grinding---machine-3
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3,15,final-inspection-q.c.
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 final-inspection-q.c.,16,final-inspection-q.c.
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 final-inspection-q.c. final-inspection-q.c.,17,final-inspection-q.c.
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 final-inspection-q.c. final-inspection-q.c. final-inspection-q.c.,18,final-inspection-q.c.
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 final-inspection-q.c. final-inspection-q.c. final-inspection-q.c. final-inspection-q.c.,19,packing
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 final-inspection-q.c. final-inspection-q.c. final-inspection-q.c. final-inspection-q.c. packing,20,final-inspection-q.c.
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 final-inspection-q.c. final-inspection-q.c. final-inspection-q.c. final-inspection-q.c. packing final-inspection-q.c.,21,final-inspection-q.c.
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 final-inspection-q.c. final-inspection-q.c. final-inspection-q.c. final-inspection-q.c. packing final-inspection-q.c. final-inspection-q.c.,22,round-grinding---machine-3
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 final-inspection-q.c. final-inspection-q.c. final-inspection-q.c. final-inspection-q.c. packing final-inspection-q.c. final-inspection-q.c. round-grinding---machine-3,23,final-inspection-q.c.
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 final-inspection-q.c. final-inspection-q.c. final-inspection-q.c. final-inspection-q.c. packing final-inspection-q.c. final-inspection-q.c. round-grinding---machine-3 final-inspection-q.c.,24,final-inspection-q.c.
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 final-inspection-q.c. final-inspection-q.c. final-inspection-q.c. final-inspection-q.c. packing final-inspection-q.c. final-inspection-q.c. round-grinding---machine-3 final-inspection-q.c. final-inspection-q.c.,25,final-inspection-q.c.
Case187,lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 lapping---machine-1 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 round-grinding---machine-3 final-inspection-q.c. final-inspection-q.c. final-inspection-q.c. final-inspection-q.c. packing final-inspection-q.c. final-inspection-q.c. round-grinding---machine-3 final-inspection-q.c. final-inspection-q.c. final-inspection-q.c.,26,final-inspection-q.c.
Case263,turning-&-milling---machine-8,0,turning-&-milling---machine-8
Case263,turning-&-milling---machine-8 turning-&-milling---machine-8,1,turning-&-milling---machine-8
Case263,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8,2,turning-&-milling-q.c.
Case263,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c.,3,turning-&-milling---machine-8
Case263,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling---machine-8,4,turning-&-milling---machine-8
Case263,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling---machine-8 turning-&-milling---machine-8,5,turning-&-milling---machine-8
Case263,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8,6,turning-&-milling---machine-8
Case263,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8,7,turning-&-milling-q.c.
Case263,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c.,8,flat-grinding---machine-11
Case263,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. flat-grinding---machine-11,9,other
Case263,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. flat-grinding---machine-11 other,10,laser-marking---machine-7
Case263,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. flat-grinding---machine-11 other laser-marking---machine-7,11,lapping---machine-1
Case263,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. flat-grinding---machine-11 other laser-marking---machine-7 lapping---machine-1,12,final-inspection-q.c.
Case263,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. flat-grinding---machine-11 other laser-marking---machine-7 lapping---machine-1 final-inspection-q.c.,13,round-grinding---manual
Case263,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. flat-grinding---machine-11 other laser-marking---machine-7 lapping---machine-1 final-inspection-q.c. round-grinding---manual,14,round-grinding---manual
Case263,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. flat-grinding---machine-11 other laser-marking---machine-7 lapping---machine-1 final-inspection-q.c. round-grinding---manual round-grinding---manual,15,final-inspection-q.c.
Case263,turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling---machine-8 turning-&-milling-q.c. flat-grinding---machine-11 other laser-marking---machine-7 lapping---machine-1 final-inspection-q.c. round-grinding---manual round-grinding---manual final-inspection-q.c.,16,round-grinding---manual
